86.18.110.250            주님 런던에 잘 다녀오게 해주셔서 감사합니다.<br />고린도후서에서 말씀하신 것 처럼 마음을 넉넉하게 남을 대접해야 하는데, 아직 그렇게 하지를 못하고 있네요.<br />노력하도록 하겠습니다. 주님 감사해요. 감사하는 마음으로 노력해보겠습니다.<br />주님 부족한 저를 사용해주셔서 감사합니다.
86.18.110.250            성령님 함께해요. 놀러오세요. :) 
86.18.110.250            주님 감사합니다. 성령님만 믿고 나아갑니다. :)<br />자꾸 약해지는 제 모습을 도와주세요.<br />그리고 살면서 만나는 모든 분들에게 헤개의 마음을 부탁드려요.
86.18.110.250            성령님 감사해요. 오늘 회의를 잘 마쳤습니다.
86.18.110.250            주님 오늘 논문 작업중 함께 해주심을 감사드립니다.<br />그리고 지도교수님께 헤개의 마음을 허락해 주심을 감사드립니다.<br />성령님의 인도하심을 믿고 내일일은 주님께 맡기며 다윗과 같이 담대히 나가도록 노력하겠습니다.<br />주님 그리고 성령님 그리고 예수님 감사해요. :)
86.18.110.250            주님 점점 마음이 좋아지네요.<br />돈이나 명예보다 주님이 좋습니다.<br />성령님이 제일 좋아요. 그리고 항상 항께해주시고 사랑해주셔서 감사합니다.
86.18.110.250            주님 잘다녀왔어요. 감사합니다.<br />
217.33.11.18   1234      주님 감사합니다. 정말 감사합니다.<br />회의를 잘 마쳤어요. 주님께서 함께하시기에 담대히 나아갑니다.<br />주님 감사합니다.
38.99.121.58   1234      주님 출장을 잘 다녀왔습니다. 주님께 영광 드립니다. 그리고 감사합니다.
94.197.122.81  1234      주님 감사합니다.<br />첫날 좀 많은 정보로 어지러웠지만 하루하루 더 큰 감사함으로 나아갑니다.
89.100.134.34  1234      주님 계속 기도합니다. :)<br />주님이 계시기에 오늘도 기대함으로 나아갑니다.
89.100.134.34  1234      오늘도 기도합니다. 저희들이 할 수 있는 최고의 것은 기도임을 고백합니다.
92.251.255.13  1234      주님 드디어 여권 및 필요한 서류들을 내었습니다.<br />이제 제 손을 떠나니 마음이 편안하네요.<br />주님 감사합니다.
83.147.183.186 1234      항상 함께하시며 인도해 주시는 주님,<br />정말 감사합니다.<br />화재 경보기로 인하여 잘 뛰쳐나왔습니다.
134.226.56.7   1234      참, 지금까지의 비자코드 연기를 통해 저가 부족했던 서류를 깨닫게 해주셔서 감사해요.
134.226.56.7   1234      참, CoS 코드 잘 나오게 해주셔서 감사합니다.<br />드디어 나왔네요. :)<br />화이팅!
83.147.183.186 1234      주님 비자문제 없이 잘 더블린에 들어왔습니다.<br />그리고 재혁이형도 잘 만났습니다. 공항에서 그리고 집으로 저희 가정을 도와주신 형제 가족과 함께해주시고 안아주세요.<br />주님 감사합니다.
94.197.122.79  1234      주님 쓰레기를 잘 버릴 수 있도록 해주셔서 감사합니다.<br />착한 청소부 아저씨들과도 함께해주세요.<br />주님 감사합니다.
94.197.122.72  1234      인터넷이 한달정도 잘 연기되었습니다.<br />주님 감사합니다.
94.197.122.72  1234      돈을 잘 받았다고 하네요.<br />주님 감사합니다.
38.99.122.107  1234      주님 감사합니다. 웨스트리의 마지막집을 구할 수 있는 가능성을 주셔서 감사합니다.<br />정말 좋은 장소로 보이네요. 집주인과 잘 계약할 수 있도록 도와주세요.
38.99.121.34   1234      시간이 지날수록 나의 생각은 사라지고 주님의 인도하심을 기대하게됩니다<br />주님 감사합니다. 주님덕에 마음이 편안합니다.<br />아멘!
194.70.169.62  1234      주님 감사합니다. 헤개의 마음 계속 부탁드리기 부끄럽지만 주님의 아들 삼아주심을 믿고 감사하며 계속 부탁드려요.
194.70.169.62  1234      오늘 집 뷰를 통하여 우리가 생각했던 집들이 아닌 것을 깨달았습니다.<br />우리가 될거라고 생각하고 있던 집도 되지 않았습니다.<br />하지만 기도했기에 주님께서 선하게 인도해 주실것을 믿습니다.<br />주님 감사합니다.
194.70.169.62  1234      오늘 아스다 지역을 보고 왔습니다.<br />가고 오는길 잘 지켜주셔서 감사하고, 또한 좋은 정보들을 알게 해주셔서 감사합니다.<br />내일 드디어 가장 좋은곳에 위치한 웨스트리 집을 보게되네요.<br />주님 도와주세요.
194.70.169.62  1234      전화를 잘 개통하였습니다. 주님의 인도하심을 감사드립니다.<br />이곳에서 만난 새로운 가족에게도 헤개의 마음을 부탁드리고,<br />그분들께도 만나주시길 기도해봅니다.<br />
83.71.193.228  1234      공항에 잘 도착하고 호텔 첵크인을 하였습니다.<br />감사합니다 주님.<br />택시 40유로<br />이동 23+34파운드
80.111.90.93   1234      주님 이사를 잘 마쳤습니다. 비록 가격이 많이 올랐지만, 모두 잘 나를 수 있게 해주심을 감사드립니다.
176.61.58.241  1234      비자를 무사히 잘 받았습니다. 감사합니다.<br />또한 아내가 시도했던 비자문의 무산되게 해주셔서 감사합니다.
176.61.58.241  1234      [감사] 빌립보서 4장, 디모데전서 6장
