Country:  Name of this Country.,"Population:  Given current trends, this figure represents a projection of this country's population by mid AD 2015.",Adult rate (%):  Adults (age 15 and over) as percentage of this country's total population. Primary source: United Nations 2015.,Birth rate (%) per year:  Birth rate for this country as a percentage per year. Source material is expressed as cases per 1000.  Primary source: United Nations 2015.,Death rate (%) per year:  Death rate for this country as a percentage per year. Source material is expressed as cases per 1000.  Primary source: United Nations 2015.,"Infant mortality (n/1000) per year:  Infant mortality, per 1,000 live births in the country. Primary source: United Nations 2015.","Literacy rate (%):  The ability to read and write, as measured by the percentage of the adult population (over age 15) who can read and write their own names and a simple statement. A higher level of competence is required for functional literacy. Primary source: United Nations 2007.","Economy - GDP per capita ($):  Gross Domestic Product per year per person, expressed in $US as purchasing power parity. The GDP is the total value of the goods and services produced in a nation during a specific period (usually a year), and also comprising the total of expenditures by consumers and government plus gross private investment.  Therefore, the 'Gross Domestic Product p.a. per capita' represents the national income per person per year. Primary source: United Nations 2008 (HDR 2007/2008).",Internet user rate (%):  Internet users as a percentage of population. Primary source: United Nations 2006.,Water access rate (%):  Percentage of the country's population with access to safe water. Primary source: United Nations 2008.,HIV adults rate (n/1000):  Number of adults with HIV per thousand of the country's population. Primary source: United Nations 2008.,"Number of Christians:  The total number of Christians in this country, AD 2015.","Number of Agnostics:  Number of  agnostic persons in this country's population. These are persons professing no religion, or professing unbelief or non-belief, non-believers, agnostics, freethinkers, liberal thinkers, non-religious humanists, indifference to both religion and atheism, apathetic, opposed on principle neither to religion nor to atheism; sometimes termed secularists or materialists; also post-Christian, dechristianized or de-religionized populations.","Number of Atheists:  Number of Atheists in this country's population. Atheists are persons professing atheism, skepticism, impiety, disbelief or irreligion, or Marxist-Leninist Communism regarded as a political faith, or other quasi-religions, and who abstain from religious activities and have severed all religious affiliation; and others opposed, hostile or militantly opposed to all religion (anti-religious); dialectical materialists, militant non-believers, anti-religious humanists, skeptics.","Number of Buddhists:  Number of Buddhists in this country's population.  Followers of the Buddha, including: (a) Mahayana (Greater Vehicle) or Northern Buddhism; (b) Theravada (Teaching of the Elders) or Southern Buddhism, stigmatized by Mahayanists as Hinayana (Lesser Vehicle, i.e. available to fewer people), actually the older, purer form of Buddhism; (c) Vajrayana, Mantrayana, Guhyamantrayana, or Tantrayana (Esoteric Vehicle), known as Tantrism, Shingon or Lamaism; and (d) traditional Buddhist sects, but excluding neo-Buddhist new religions or religious movements.","Number of Hindus:  Number of Hindus in this country's population.  Followers of the main Hindu traditions: (a) Vaishnavites (Vishnaivites) (qv) numbering 70% of all Hindus; (b) Saivites (qv) numbering 25% mostly in South India; (c) Saktists (qv) or other sects (3%); (d) neo-Hindu movements and modern sects arising out of Hinduism, about 1.5%; and (e) Arya Samaj and other reformist movements, 0.5% (Brahmo Samaj, Prarthana Samaj, Swami-Narayanis, Ramakrishna Mission, but excluding Jains and Sikhs).",Number of Jews:  Number of Jews in this country's population.,Number of Muslims:  Number of Muslims in this country's population.
China,1401586609,0.818341895,0.012175,0.007549,11.314,0.9099431,6757,0.1035,0.88,1,125302308,440010545,97460187,222135602,18879,2803,23123743
India,1282390303,0.716300505,0.019017,0.007962,37.774,0.6105638,3452,0.1072,0.89,3,62355353,15271742,2035731,9157626,927862745,11540,186713138
United States,325127634,0.806096753,0.013099,0.00836,5.471,1,41890,0.6983,0.99,6,256295282,47927808,1371097,4142782,1513403,5243236,4419131
Indonesia,255708785,0.719492934,0.017283,0.006311,22.502,0.9044111,3843,0.0469,0.8,2,31095534,3377080,286504,2072119,4148048,203,202554398
Brazil,203657210,0.76873657,0.014037,0.006674,15.927,0.8861345,8402,0.2255,0.91,6,184840119,5273427,895578,518834,10183,117276,202450
Pakistan,188144040,0.671649732,0.023521,0.006831,58.713,0.498879,2370,0.0764,0.9,1,3940614,150790,8843,115957,2481523,1037,181085097
Nigeria,183523432,0.556075243,0.039357,0.011989,65.348,0.6931806,1128,0.0595,0.47,31,84612183,466792,50899,9798,34869,1321,84473881
Bangladesh,160411249,0.710368012,0.018437,0.005401,24.739,0.4741878,2053,0.0031,0.8,1,796991,114706,12443,994094,15046611,192,142683986
Russia,142098141,0.835407206,0.011342,0.015578,9.077,0.99442,10845,0.1802,0.97,11,116562024,5845012,960831,535567,42495,204366,16930413
Japan,126818019,0.871120933,0.008065,0.01074,1.926,1,31267,0.6827,1,1,2636018,12914429,3590660,70729203,24248,1521,194754
Mexico,125235587,0.725635031,0.016972,0.004655,12.101,0.9099691,10751,0.1898,0.95,3,120103247,3390173,134040,29055,11369,43281,117318
Philippines,101802706,0.666130348,0.023455,0.006112,19.224,0.9259993,5137,0.0592,0.93,1,92503642,749191,198652,116682,31844,1337,5430988
Ethiopia,98942102,0.585676439,0.030726,0.006705,42.459,0.3640621,1055,0.003,0.42,21,59332684,87034,12114,1583,7369,18848,33605176
Viet Nam,93386630,0.775663786,0.014031,0.005902,12.577,0.903799,3071,0.1721,0.92,5,7898508,11654711,6021522,46246370,55815,359,166738
Egypt,84705681,0.691472594,0.021409,0.00634,15.646,0.7124114,4337,0.0795,0.98,1,8388458,482871,82379,826,1271,99,75740762
Germany,82562004,0.870556267,0.008629,0.0115,2.714,1,29461,0.4667,1,1,56138015,19617454,2086839,84956,93708,119368,4320361
Iran,79476308,0.759163259,0.016751,0.005085,12.105,0.7697928,7968,0.2554,0.94,2,290152,232869,8527,477,36400,20489,78520366
Turkey,76690509,0.750574872,0.015546,0.005715,8.991,0.8728354,8407,0.1773,0.97,2,187997,791834,64314,37333,767,24871,75399080
Congo DR,71246355,0.554629047,0.040792,0.014352,101.964,0.6740273,714,0.003,0.46,12,67666735,303548,15497,4033,106870,426,1049835
Thailand,67400746,0.825457199,0.009394,0.008329,8.493,0.9266327,8677,0.1307,0.98,14,849791,1179434,34283,58792010,65651,91,3959722
France,64982894,0.819059059,0.012127,0.009126,2.829,1,30386,0.4957,1,4,42370405,12671173,2691157,493137,49062,500368,5652051
United Kingdom,63843856,0.823783936,0.01198,0.009335,3.616,1,33238,0.6316,1,2,45381594,13049864,947784,201964,597770,299171,2644661
Italy,61142221,0.859748716,0.008841,0.010494,2.291,0.9841937,28529,0.5291,1,4,48696836,8085786,2176207,98500,141778,28615,1619365
Myanmar,54164262,0.758120253,0.016027,0.008736,45.384,0.9000738,1027,0.0007,0.8,7,4237425,242121,21697,40611395,923961,27,2043040
South Africa,53491333,0.706895339,0.019573,0.013165,33.547,0.8245596,11110,0.0777,0.93,181,43870987,2881352,147785,169898,1275671,75487,922467
Tanzania,52290796,0.553039258,0.037061,0.007793,42.918,0.6984308,744,0.01,0.55,62,28881727,154846,31428,11844,452429,342,16534446
South Korea,49750234,0.857975482,0.009413,0.006154,2.642,0.9774211,22029,0.7111,0.92,1,16387433,744915,49914,12342376,2239,104,72879
Colombia,49529208,0.73008678,0.0174,0.005744,13.848,0.9280337,7304,0.1449,0.93,6,47237607,1221032,122570,1974,11931,12053,24418
Spain,47199069,0.844832639,0.009424,0.009047,2.777,0.9764028,27169,0.4283,1,5,41473799,3667466,719863,14750,26431,59471,1192300
Kenya,46748617,0.581997239,0.032463,0.007549,46.314,0.7393116,1240,0.0789,0.57,71,38300446,36857,1917,1473,235725,2776,3714678
Ukraine,44646131,0.849951141,0.01042,0.016988,11.061,0.9943247,6848,0.1957,0.97,16,38358110,4462918,985480,18141,4688,70461,731016
Argentina,42154914,0.761452745,0.015955,0.007673,9.766,0.9719,14280,0.2091,0.96,5,38049787,2306386,361907,22564,6195,188367,902958
Algeria,40633464,0.716166655,0.021319,0.005945,23.559,0.6993005,7062,0.0738,0.85,1,70799,507557,6895,6095,0,650,40024674
Uganda,40141262,0.520598007,0.040895,0.008353,50.187,0.6728586,1454,0.0502,0.64,54,33894133,156232,15863,2408,322495,4014,4702604
Sudan,39613217,0.595042912,0.031737,0.008025,51.258,0.6148632,2083,0.0865,0.7,14,1985935,355028,60171,891,781,2418,36108792
Poland,38221584,0.848764667,0.010651,0.010785,4.928,0.997,13847,0.3658,1,1,36532606,1520614,101389,1988,1089,9575,39020
Canada,35871283,0.834981007,0.011285,0.007796,3.939,1,33375,0.7677,1,4,24648145,6682445,922301,525818,411231,364199,945983
Iraq,35766702,0.607665113,0.029385,0.0049,24.531,0.7423587,1314,0.0016,0.77,2,346924,175025,64323,322,4292,25,35089052
Morocco,33955157,0.7207365,0.020208,0.006294,21.827,0.5254485,4555,0.1985,0.83,1,30763,44763,394,0,0,5059,33839537
Afghanistan,32006788,0.550609202,0.030305,0.007076,59.117,0.2807479,632,0.0172,0.22,0.5,7734,2560,147,6401,10882,3,31949875
Venezuela,31292702,0.720802921,0.01838,0.005499,13.063,0.9299059,6632,0.1452,0.83,7,28989050,1328811,67365,38240,626,13631,102953
Peru,31161167,0.719991199,0.018466,0.005281,13.14,0.8777309,6039,0.2289,0.84,5,30055635,374920,55500,70103,0,11030,785
Malaysia,30651176,0.747469852,0.017255,0.00493,3.473,0.8856649,10882,0.5423,0.99,5,2727975,113475,33992,1621233,1921237,107,17322003
Saudi Arabia,29897741,0.716829108,0.017048,0.003274,9.012,0.7963617,15711,0.1866,0.89,2,1308174,190722,9283,97586,608120,0,27523298
Uzbekistan,29709932,0.719155433,0.019802,0.006828,40.397,0.9919783,2063,0.0408,0.88,1,354600,980465,265652,42652,794,4791,27998027
Nepal,28440629,0.670290028,0.019667,0.006421,28.241,0.4828289,1550,0.0114,0.89,5,1057187,86306,16448,3266539,19046359,0,1203293
Mozambique,27121827,0.549088489,0.037029,0.013058,64.269,0.3960078,1242,0.0089,0.42,125,14364815,97154,20499,2360,43666,271,4737388
Ghana,26984328,0.619696514,0.028663,0.008484,47.532,0.5801863,2480,0.027,0.8,19,17352722,79960,5156,540,5397,486,5372659
Yemen,25535086,0.608914064,0.029086,0.006934,51.729,0.5405429,930,0.0125,0.66,2,43967,20623,5099,139,160871,13,25301255
North Korea,25155326,0.78832582,0.01426,0.00946,17.79,0.95,1527,0.0002,1,1,203012,14304672,3919280,381581,0,0,2516
Madagascar,24235390,0.58290665,0.033534,0.006108,29.278,0.7087862,923,0.0058,0.47,1,14045208,67512,15842,6059,14057,364,511360
Australia,23923101,0.808361801,0.012884,0.006673,3.466,1,31794,0.5205,1,2,16083795,5630812,507686,501708,198711,119051,503381
